TYPECOM,COM,REG,DEP,CTCD,ARR,TNCC,NCC,NCCENR,LIBELLE,CAN,COMPARENT
COM,16088,75,16,16D,162,0,CHASSORS,Chassors,Chassors,1615,NA
COM,16089,75,16,16D,162,0,CHATEAUBERNARD,Châteaubernard,Châteaubernard,1612,NA
COM,16090,75,16,16D,162,0,CHATEAUNEUF SUR CHARENTE,Châteauneuf-sur-Charente,Châteauneuf-sur-Charente,1607,NA
COM,16091,75,16,16D,161,0,CHATIGNAC,Châtignac,Châtignac,1617,NA
COM,16093,75,16,16D,161,0,CHAZELLES,Chazelles,Chazelles,1619,NA
COM,16095,75,16,16D,163,0,CHENON,Chenon,Chenon,1605,NA
COM,16096,75,16,16D,163,0,CHERVES CHATELARS,Cherves-Châtelars,Cherves-Châtelars,1606,NA
COM,16097,75,16,16D,162,0,CHERVES RICHEMONT,Cherves-Richemont,Cherves-Richemont,1611,NA
COM,16098,75,16,16D,163,3,CHEVRERIE,Chèvrerie,La Chèvrerie,1608,NA
COM,16099,75,16,16D,162,0,CHILLAC,Chillac,Chillac,1609,NA
COM,16100,75,16,16D,163,0,CHIRAC,Chirac,Chirac,1610,NA
COM,16101,75,16,16D,161,0,CLAIX,Claix,Claix,1604,NA
COM,16102,75,16,16D,162,0,COGNAC,Cognac,Cognac,1699,NA
COM,16103,75,16,16D,161,0,COMBIERS,Combiers,Combiers,1617,NA
COM,16104,75,16,16D,163,0,CONDAC,Condac,Condac,1608,NA
COM,16105,75,16,16D,162,0,CONDEON,Condéon,Condéon,1609,NA
COM,16106,75,16,16D,163,0,CONFOLENS,Confolens,Confolens,1610,NA
COM,16107,75,16,16D,161,0,COULGENS,Coulgens,Coulgens,1619,NA
COM,16108,75,16,16D,163,0,COULONGES,Coulonges,Coulonges,1605,NA
COM,16109,75,16,16D,162,0,COURBILLAC,Courbillac,Courbillac,1618,NA
COM,16110,75,16,16D,163,0,COURCOME,Courcôme,Courcôme,1608,NA
COM,16111,75,16,16D,161,0,COURGEAC,Courgeac,Courgeac,1617,NA
COM,16112,75,16,16D,161,0,COURLAC,Courlac,Courlac,1617,NA
COM,16113,75,16,16D,161,3,COURONNE,Couronne,La Couronne,1613,NA
COM,16114,75,16,16D,163,0,COUTURE,Couture,Couture,1608,NA
COM,16116,75,16,16D,162,0,CRITEUIL LA MAGDELEINE,Criteuil-la-Magdeleine,Criteuil-la-Magdeleine,1607,NA
COM,16117,75,16,16D,161,0,CURAC,Curac,Curac,1617,NA
COM,16118,75,16,16D,161,0,DEVIAT,Deviat,Deviat,1617,NA
COM,16119,75,16,16D,161,0,DIGNAC,Dignac,Dignac,1604,NA
COM,16120,75,16,16D,161,0,DIRAC,Dirac,Dirac,1604,NA
COM,16121,75,16,16D,162,0,DOUZAT,Douzat,Douzat,1618,NA
COM,16122,75,16,16D,163,1,EBREON,Ébréon,Ébréon,1608,NA
COM,16123,75,16,16D,162,1,ECHALLAT,Échallat,Échallat,1618,NA
COM,16124,75,16,16D,161,1,ECURAS,Écuras,Écuras,1619,NA
COM,16125,75,16,16D,161,1,EDON,Édon,Édon,1617,NA
COM,16127,75,16,16D,163,1,EMPURE,Empuré,Empuré,1608,NA
COM,16128,75,16,16D,163,1,EPENEDE,Épenède,Épenède,1610,NA
COM,16130,75,16,16D,161,4,ESSARDS,Essards,Les Essards,1617,NA
COM,16131,75,16,16D,163,1,ESSE,Esse,Esse,1610,NA
COM,16132,75,16,16D,163,1,ETAGNAC,Étagnac,Étagnac,1610,NA
COM,16133,75,16,16D,162,1,ETRIAC,Étriac,Étriac,1609,NA
COM,16134,75,16,16D,163,1,EXIDEUIL SUR VIENNE,Exideuil-sur-Vienne,Exideuil-sur-Vienne,1610,NA
COM,16135,75,16,16D,161,1,EYMOUTHIERS,Eymouthiers,Eymouthiers,1619,NA
COM,16136,75,16,16D,163,3,FAYE,Faye,La Faye,1608,NA
COM,16137,75,16,16D,161,0,FEUILLADE,Feuillade,Feuillade,1619,NA
COM,16138,75,16,16D,161,0,FLEAC,Fléac,Fléac,1601,NA
COM,16139,75,16,16D,162,0,FLEURAC,Fleurac,Fleurac,1615,NA
COM,16141,75,16,16D,163,0,FONTENILLE,Fontenille,Fontenille,1605,NA
COM,16142,75,16,16D,163,3,FORET DE TESSE,Forêt-de-Tessé,La Forêt-de-Tessé,1608,NA
COM,16143,75,16,16D,161,0,FOUQUEBRUNE,Fouquebrune,Fouquebrune,1617,NA
COM,16144,75,16,16D,163,0,FOUQUEURE,Fouqueure,Fouqueure,1608,NA
COM,16145,75,16,16D,162,0,FOUSSIGNAC,Foussignac,Foussignac,1615,NA
COM,16146,75,16,16D,161,0,GARAT,Garat,Garat,1604,NA
COM,16147,75,16,16D,161,0,GARDES LE PONTAROUX,Gardes-le-Pontaroux,Gardes-le-Pontaroux,1617,NA
COM,16148,75,16,16D,162,0,GENAC BIGNAC,Genac-Bignac,Genac-Bignac,1618,NA
COM,16150,75,16,16D,162,0,GENSAC LA PALLUE,Gensac-la-Pallue,Gensac-la-Pallue,1607,NA
COM,16151,75,16,16D,162,0,GENTE,Genté,Genté,1607,NA
COM,16152,75,16,16D,162,0,GIMEUX,Gimeux,Gimeux,1612,NA
COM,16153,75,16,16D,162,0,MAINXE GONDEVILLE,Mainxe-Gondeville,Mainxe-Gondeville,1615,NA
COM,16154,75,16,16D,161,0,GOND PONTOUVRE,Gond-Pontouvre,Gond-Pontouvre,1614,NA
COM,16155,75,16,16D,163,4,GOURS,Gours,Les Gours,1608,NA
COM,16157,75,16,16D,163,2,GRAND MADIEU,Grand-Madieu,Le Grand-Madieu,1606,NA
COM,16158,75,16,16D,161,0,GRASSAC,Grassac,Grassac,1619,NA
COM,16160,75,16,16D,162,0,GUIMPS,Guimps,Guimps,1609,NA
COM,16161,75,16,16D,162,0,GUIZENGEARD,Guizengeard,Guizengeard,1609,NA
COM,16162,75,16,16D,161,0,GURAT,Gurat,Gurat,1617,NA
COM,16163,75,16,16D,162,1,HIERSAC,Hiersac,Hiersac,1618,NA
COM,16164,75,16,16D,163,1,HIESSE,Hiesse,Hiesse,1610,NA
